readers,writers,total_time_ms,read_count,write_count,avg_read_time_us,avg_write_time_us,read_ops_sec,write_ops_sec,ratio
2,1,3002,45,134,128644.44,22388.06,14.99,44.64,2.0
3,1,3009,52,131,168000.0,23045.8,17.28,43.54,3.0
5,1,3002,51,145,268254.9,20862.07,16.99,48.3,5.0
10,1,3001,85,130,353023.53,22915.38,28.32,43.32,10.0
5,2,3004,5,314,1174000.0,19101.91,1.66,104.53,2.5
10,2,3005,10,278,13800.0,21471.22,3.33,92.51,5.0
15,3,3012,26,374,747307.69,23965.24,8.63,124.17,5.0
3,3,3002,5,441,333400.0,20335.6,1.67,146.9,1.0
1,3,3006,1,467,19000.0,19259.1,0.33,155.36,0.3333333333333333
1,5,3009,1,776,24000.0,19382.73,0.33,257.89,0.2
