readers,writers,read_count,write_count,total_time_ms,read_ops_sec,write_ops_sec,ratio,avg_read_time_us,avg_write_time_us
2,1,30,140,5002,5.997600959616154,27.988804478208717,2.0,166733.33333333334,35728.57142857143
3,1,35,138,5009,6.987422639249351,27.55040926332601,3.0,143114.2857142857,36297.10144927536
5,1,38,142,5002,7.596961215513795,28.38864454218313,5.0,131631.57894736843,35225.35211267605
10,1,42,135,5001,8.398320335932812,26.99460107978404,10.0,119071.42857142857,37044.444444444445
5,2,15,320,5004,2.9976019184652283,63.948840927258196,2.5,333600.0,15637.5
10,2,18,285,5005,3.5964035964035963,56.943056943056945,5.0,278055.55555555556,17561.40350877193
15,3,22,390,5012,4.389465283320033,77.81324820430966,5.0,227818.18181818182,12851.28205128205
3,3,12,455,5002,2.3990403838464616,90.96361455417833,1.0,416833.3333333333,10993.406593406593
1,3,8,480,5006,1.5980823012385137,95.88493807431082,0.3333333333333333,625750.0,10429.166666666666
1,5,5,790,5009,0.9982032341784787,157.71611100019962,0.2,1001800.0,6340.506329113924
